#sql[INFO][main][2019-06-24 11:38:20][com.aiwan.server.util.ExcelUtil] - url:file:/C:/ideaProject/homeword1/target/classes/staticresource/role.xls
#sql[INFO][main][2019-06-24 11:38:20][com.aiwan.server.util.ExcelUtil] - url:file:/C:/ideaProject/homeword1/target/classes/staticresource/mount.xls
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.core.env.MutablePropertySources] - Adding [systemProperties] PropertySource with lowest search precedence
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.core.env.MutablePropertySources] - Adding [systemEnvironment] PropertySource with lowest search precedence
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.core.env.AbstractEnvironment] - Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
#sql[INFO][main][2019-06-24 11:44:23][org.springframework.context.support.AbstractApplicationContext] - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@646d64ab: startup date [Mon Jun 24 11:44:23 CST 2019]; root of context hierarchy
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.core.env.MutablePropertySources] - Adding [systemProperties] PropertySource with lowest search precedence
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.core.env.MutablePropertySources] - Adding [systemEnvironment] PropertySource with lowest search precedence
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.core.env.AbstractEnvironment] - Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
#sql[INFO][main][2019-06-24 11:44:23][org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [Spring-Hibernate-All-Cfg.xml]
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.beans.factory.xml.DefaultDocumentLoader] - Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.beans.factory.xml.PluggableSchemaResolver] - Loading schema mappings from [META-INF/spring.schemas]
